patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9722222222222222,0.9745370370370371,0.9733796296296298,0.9051724137931034,0.9740740740740741
chb02,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9545454545454546,0.9659090909090909,0.9602272727272728,0.875,0.9636363636363636
chb03,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9591836734693877,0.9897959183673469,0.9744897959183674,0.9591836734693877,0.9836734693877551
chb04,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8817204301075269,0.9224598930481284,0.9020901615778277,0.7387387387387387,0.9143468950749465
chb05,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9637681159420289,0.9891696750902527,0.9764688955161408,0.9568345323741008,0.9841040462427746
chb06,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.6666666666666666,0.9178082191780822,0.7922374429223744,0.6666666666666666,0.8681318681318682
chb07,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.925,0.9782608695652174,0.9516304347826087,0.9135802469135802,0.9676616915422885
chb08,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8289473684210527,0.9135667396061269,0.8712570540135898,0.7052238805970149,0.8966725043782837
chb09,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8970588235294118,0.9963503649635036,0.9467045942464576,0.9838709677419355,0.9766081871345029
chb10,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.9818181818181818,0.997737556561086,0.989777869189634,0.9908256880733946,0.9945652173913043
chb11,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.96,0.9912718204488778,0.9756359102244389,0.964824120603015,0.9850299401197605
chb13,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8615384615384616,0.8942307692307693,0.8778846153846154,0.6706586826347305,0.8876923076923077
chb14,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.7560975609756098,0.9085365853658537,0.8323170731707317,0.6739130434782609,0.8780487804878049
chb15,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.693089430894309,0.7913705583756345,0.7422299946349717,0.45345744680851063,0.7717303005686433
chb16,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.7058823529411765,0.8428571428571429,0.7743697478991598,0.5217391304347826,0.8160919540229885
chb17,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.7638888888888888,0.7951388888888888,0.7795138888888888,0.4824561403508772,0.7888888888888889
chb18,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.8717948717948718,0.9904458598726115,0.9311203658337417,0.9577464788732394,0.9668367346938775
chb19,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.896551724137931,0.9358974358974359,0.9162245800176835,0.7761194029850746,0.928082191780822
chb20,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8309859154929577,0.9545454545454546,0.8927656850192062,0.8194444444444444,0.9299719887955182
chb21,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8571428571428571,0.8418367346938775,0.8494897959183674,0.5753424657534246,0.8448979591836735
chb22,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9411764705882353,1.0,0.9705882352941176,1.0,0.9882352941176471
chb23,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9326923076923077,0.9712918660287081,0.9519920868605078,0.8899082568807339,0.9636015325670498
