patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9534883720930233,0.9806949806949807,0.967091676394002,0.924812030075188,0.9752704791344667
chb02,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",1.0,0.9904761904761905,0.9952380952380953,0.9629629629629629,0.9923664122137404
chb03,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9230769230769231,0.9787234042553191,0.9509001636661212,0.9152542372881356,0.9676320272572402
chb04,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.7589285714285714,0.9441964285714286,0.8515625,0.7727272727272727,0.9071428571428571
chb05,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9337349397590361,0.9849397590361446,0.9593373493975905,0.9393939393939394,0.9746987951807229
chb06,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7906976744186046,0.7657142857142857,0.7782059800664451,0.4533333333333333,0.7706422018348624
chb07,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9375,0.9896373056994818,0.9635686528497409,0.9574468085106383,0.979253112033195
chb08,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.843065693430657,0.906021897810219,0.874543795620438,0.6916167664670658,0.8934306569343066
chb09,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9024390243902439,0.9969512195121951,0.9496951219512194,0.9866666666666667,0.9780487804878049
chb10,knn,"{'clf__n_neighbors': 6, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9772727272727273,0.9962264150943396,0.9867495711835335,0.9847328244274809,0.9924471299093656
chb11,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9416666666666667,0.997920997920998,0.9697938322938323,0.9912280701754386,0.9866888519134775
chb13,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8076923076923077,0.8733974358974359,0.8405448717948718,0.6146341463414634,0.8602564102564103
chb14,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7551020408163265,0.8928571428571429,0.8239795918367347,0.6379310344827587,0.8653061224489796
chb15,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.727580372250423,0.7681895093062606,0.7478849407783418,0.4396728016359918,0.7600676818950931
chb16,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9523809523809523,0.7380952380952381,0.8452380952380952,0.47619047619047616,0.780952380952381
chb17,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6744186046511628,0.7971014492753623,0.7357600269632625,0.453125,0.7726218097447796
chb18,knn,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}",0.8936170212765957,0.9042553191489362,0.898936170212766,0.7,0.902127659574468
chb19,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.8857142857142857,0.9821428571428571,0.9339285714285713,0.9253731343283582,0.9628571428571429
chb20,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7411764705882353,0.956268221574344,0.8487223460812897,0.8076923076923077,0.9135514018691588
chb21,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.8103448275862069,0.8553191489361702,0.8328319882611885,0.5802469135802469,0.8464163822525598
chb22,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9016393442622951,1.0,0.9508196721311475,1.0,0.980327868852459
chb23,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.952,0.9241516966067864,0.9380758483033932,0.7579617834394905,0.9297124600638977
