patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",0.9612403100775194,0.9806949806949807,0.97096764538625,0.9253731343283582,0.9768160741885626
chb02,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",1.0,0.9047619047619048,0.9523809523809523,0.7222222222222222,0.9236641221374046
chb03,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",0.9401709401709402,0.9659574468085106,0.9530641934897254,0.873015873015873,0.9608177172061328
chb04,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.8303571428571429,0.9508928571428571,0.890625,0.808695652173913,0.9267857142857143
chb05,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.9578313253012049,0.9984939759036144,0.9781626506024096,0.99375,0.9903614457831326
chb06,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.6976744186046512,0.88,0.7888372093023255,0.5882352941176471,0.8440366972477065
chb07,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.9479166666666666,0.9792746113989638,0.9635956390328152,0.9191919191919192,0.9730290456431535
chb08,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.8722627737226277,0.8859489051094891,0.8791058394160585,0.6565934065934066,0.8832116788321168
chb09,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.9024390243902439,0.9878048780487805,0.9451219512195121,0.9487179487179487,0.9707317073170731
chb10,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.9772727272727273,1.0,0.9886363636363636,1.0,0.9954682779456193
chb11,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.9583333333333334,0.997920997920998,0.9781271656271658,0.9913793103448276,0.9900166389351082
chb13,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.8461538461538461,0.8926282051282052,0.8693910256410257,0.6633165829145728,0.8833333333333333
chb14,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.7142857142857143,0.9285714285714286,0.8214285714285715,0.7142857142857143,0.8857142857142857
chb15,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.8291032148900169,0.7305414551607445,0.7798223350253808,0.43478260869565216,0.750253807106599
chb16,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",1.0,0.7380952380952381,0.8690476190476191,0.4883720930232558,0.7904761904761904
chb17,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.7790697674418605,0.7942028985507247,0.7866363329962925,0.4855072463768116,0.7911832946635731
chb18,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.9042553191489362,0.9601063829787234,0.9321808510638299,0.85,0.948936170212766
chb19,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",0.9714285714285714,0.9821428571428571,0.9767857142857144,0.9315068493150684,0.98
chb20,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.9294117647058824,0.924198250728863,0.9268050077173727,0.7523809523809524,0.9252336448598131
chb21,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 200}",0.8103448275862069,0.8851063829787233,0.8477256052824651,0.6351351351351351,0.8703071672354948
chb22,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.8360655737704918,1.0,0.9180327868852459,1.0,0.9672131147540983
chb23,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.952,0.9401197604790419,0.9460598802395209,0.7986577181208053,0.9424920127795527
