patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.9069767441860465,0.9986101459346769,0.9527934450603617,0.9512195121951219,0.9959514170040485
chb02,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.5,1.0,0.75,1.0,0.9944979367262724
chb03,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.8205128205128205,0.9979152189020153,0.9092140197074179,0.9142857142857143,0.993234100135318
chb04,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 400}",0.5675675675675675,1.0,0.7837837837837838,1.0,0.9954259576901087
chb05,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 400}",0.9454545454545454,0.9993050729673384,0.9723798092109419,0.9811320754716981,0.9973226238286479
chb06,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",0.07142857142857142,1.0,0.5357142857142857,1.0,0.9971958584987057
chb07,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 500}",0.75,0.9997552019583843,0.8748776009791921,0.96,0.9978139421909157
chb08,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 400}",0.5824175824175825,0.993060374739764,0.7877389785786734,0.8412698412698413,0.9686684073107049
chb09,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 500}",0.8888888888888888,1.0,0.9444444444444444,1.0,0.9989733059548255
chb10,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",1.0,1.0,1.0,1.0,1.0
chb11,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",0.975,1.0,0.9875,1.0,0.998274374460742
chb13,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.38461538461538464,0.9979152189020153,0.6912653017586999,0.8695652173913043,0.9765258215962441
chb14,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 300}",0.4375,1.0,0.71875,1.0,0.9938144329896907
chb15,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.29441624365482233,0.9770674079221682,0.6357418257884953,0.6373626373626373,0.8948655256723717
chb16,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.0,1.0,0.5,nan,0.9951590594744122
chb17,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.25,0.9990732159406858,0.6245366079703428,0.875,0.980126467931346
chb18,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 400}",0.7419354838709677,1.0,0.8709677419354839,1.0,0.9945578231292517
chb19,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.7391304347826086,0.9962928637627433,0.867711649272676,0.8095238095238095,0.9909255898366606
chb20,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.75,0.9979152189020153,0.8739576094510076,0.875,0.9931833674164963
chb21,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.3684210526315789,1.0,0.6842105263157895,1.0,0.9917695473251029
chb22,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 500}",0.65,0.9990732159406858,0.8245366079703428,0.9285714285714286,0.9927206551410374
chb23,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 500}",0.5609756097560976,0.9987492182614134,0.7798624140087554,0.8518518518518519,0.9932077801790676
