patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 500}",0.921875,0.9981464318813716,0.9600107159406858,0.9365079365079365,0.995949594959496
chb02,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.8461538461538461,1.0,0.9230769230769231,1.0,0.9981684981684982
chb03,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.896551724137931,0.9981464318813716,0.9473490780096513,0.9285714285714286,0.9954873646209387
chb04,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.5535714285714286,0.9998073959938367,0.7766894122826328,0.96875,0.995045731707317
chb05,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 300}",0.891566265060241,0.9995366079703429,0.9455514365152919,0.9866666666666667,0.9955377063810799
chb06,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.0,1.0,0.5,nan,0.9969801553062986
chb07,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.8333333333333334,0.9996736292428199,0.9165034812880767,0.9523809523809523,0.998380829015544
chb08,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 400}",0.6496350364963503,0.99537251272559,0.8225037746109701,0.898989898989899,0.9747606614447345
chb09,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.926829268292683,1.0,0.9634146341463414,1.0,0.999315693430657
chb10,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0
chb11,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",0.95,1.0,0.975,1.0,0.9965497412305923
chb13,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.3974358974358974,0.9981464318813716,0.6977911646586346,0.8857142857142857,0.9771914132379249
chb14,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.5,1.0,0.75,1.0,0.9945004582951421
chb15,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.2576271186440678,0.9805375347544022,0.619082326699235,0.6440677966101694,0.8935996738687322
chb16,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.0,1.0,0.5,nan,0.9953874538745388
chb17,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.23255813953488372,1.0,0.6162790697674418,1.0,0.98014440433213
chb18,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 500}",0.8085106382978723,0.9995366079703429,0.9040236231341077,0.9743589743589743,0.9954648526077098
chb19,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.8,0.9993823347745522,0.8996911673872761,0.9655172413793104,0.9951632406287787
chb20,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",0.6190476190476191,0.9990732159406858,0.8090604174941525,0.9285714285714286,0.9918181818181818
chb21,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.3103448275862069,1.0,0.6551724137931034,1.0,0.9908550525834476
chb22,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.9333333333333333,0.9969116738727609,0.9651225036030471,0.8484848484848485,0.9957550030321407
chb23,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 500}",0.5645161290322581,0.9993746091307066,0.7819453690814823,0.9210526315789473,0.9938258901008438
