patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9825581395348837,0.9797395079594791,0.9811488237471815,0.9234972677595629,0.9803012746234068
chb02,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9428571428571428,0.95,0.9464285714285714,0.825,0.9485714285714286
chb03,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9230769230769231,0.9617224880382775,0.9423997055576003,0.8571428571428571,0.9540229885057471
chb04,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.785234899328859,0.9331103678929766,0.8591726336109178,0.7452229299363057,0.9036144578313253
chb05,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9276018099547512,0.9853273137697517,0.9564645618622514,0.9403669724770642,0.973803071364047
chb06,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.7241379310344828,0.7124463519313304,0.7182921414829065,0.3853211009174312,0.7147766323024055
chb07,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.890625,0.9941747572815534,0.9423998786407767,0.9743589743589743,0.973561430793157
chb08,knn,"{'clf__n_neighbors': 6, 'clf__p': 1, 'clf__weights': 'distance'}",0.8849315068493151,0.8673050615595075,0.8761182842044113,0.6247582205029013,0.8708264915161467
chb09,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.908256880733945,0.997716894977169,0.9529868878555571,0.99,0.979890310786106
chb10,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9715909090909091,0.9943422913719944,0.9829666002314518,0.9771428571428571,0.9898074745186863
chb11,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.959375,0.9984411535463756,0.9789080767731878,0.9935275080906149,0.990642545227698
chb13,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7692307692307693,0.8689903846153846,0.8191105769230769,0.5947955390334573,0.8490384615384615
chb14,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7076923076923077,0.9312977099236641,0.819495008807986,0.71875,0.8868501529051988
chb15,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7309644670050761,0.7354060913705583,0.7331852791878173,0.4085106382978723,0.7345177664974619
chb16,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8928571428571429,0.5982142857142857,0.7455357142857142,0.35714285714285715,0.6571428571428571
chb17,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.782608695652174,0.7391304347826086,0.7608695652173912,0.42857142857142855,0.7478260869565218
chb18,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.888,0.9661354581673307,0.9270677290836653,0.8671875,0.9505582137161085
chb19,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7311827956989247,0.9812834224598931,0.856233109079409,0.9066666666666666,0.9314775160599572
chb20,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8245614035087719,0.9671772428884027,0.8958693231985874,0.8623853211009175,0.9387040280210157
chb21,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.782051282051282,0.9201277955271565,0.8510895387892192,0.7093023255813954,0.8925831202046036
chb22,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9876543209876543,0.9785276073619632,0.9830909641748088,0.9195402298850575,0.9803439803439803
chb23,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9520958083832335,0.937125748502994,0.9446107784431138,0.7910447761194029,0.9401197604790419
