patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116
chb02,knn,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0
chb03,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9743589743589743,0.9487179487179487,0.9615384615384616,0.95,0.9615384615384616
chb04,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649
chb05,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9636363636363636,0.9818181818181818,0.9727272727272728,0.9814814814814815,0.9727272727272728
chb06,knn,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9285714285714286,0.7857142857142857,0.8571428571428572,0.8125,0.8571428571428571
chb07,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.90625,1.0,0.953125,1.0,0.953125
chb08,knn,"{'clf__n_neighbors': 6, 'clf__p': 2, 'clf__weights': 'distance'}",0.8351648351648352,0.9340659340659341,0.8846153846153847,0.926829268292683,0.8846153846153846
chb09,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.9629629629629629,1.0,0.9814814814814814,1.0,0.9814814814814815
chb10,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9772727272727273,1.0,0.9886363636363636,1.0,0.9886363636363636
chb11,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.9625,1.0,0.98125,1.0,0.98125
chb13,knn,"{'clf__n_neighbors': 6, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8846153846153846,0.8846153846153846,0.8846153846153845,0.8846153846153846,0.8846153846153846
chb14,knn,"{'clf__n_neighbors': 8, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6875,1.0,0.84375,1.0,0.84375
chb15,knn,"{'clf__n_neighbors': 10, 'clf__p': 1, 'clf__weights': 'distance'}",0.6802030456852792,0.7614213197969543,0.7208121827411168,0.7403314917127072,0.7208121827411168
chb16,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7142857142857143,0.8571428571428571,0.7857142857142858,0.8333333333333334,0.7857142857142857
chb17,knn,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}",0.8928571428571429,0.7857142857142857,0.8392857142857143,0.8064516129032258,0.8392857142857143
chb18,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",1.0,0.9032258064516129,0.9516129032258064,0.9117647058823529,0.9516129032258065
chb19,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0
chb20,knn,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429
chb21,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7894736842105263,0.7368421052631579,0.7631578947368421,0.75,0.7631578947368421
chb22,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.95,1.0,0.975,1.0,0.975
chb23,knn,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.975609756097561,0.8780487804878049,0.9268292682926829,0.8888888888888888,0.926829268292683
