patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 6, 'clf__p': 1, 'clf__weights': 'uniform'}",0.984375,0.984375,0.984375,0.984375,0.984375
chb02,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0
chb03,knn,"{'clf__n_neighbors': 10, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9827586206896551,0.9655172413793104,0.9741379310344829,0.9661016949152542,0.9741379310344828
chb04,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9107142857142857,0.875,0.8928571428571429,0.8793103448275862,0.8928571428571429
chb05,knn,"{'clf__n_neighbors': 8, 'clf__p': 1, 'clf__weights': 'distance'}",0.8674698795180723,0.9879518072289156,0.9277108433734941,0.9863013698630136,0.927710843373494
chb06,knn,"{'clf__n_neighbors': 6, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6190476190476191,0.9047619047619048,0.7619047619047619,0.8666666666666667,0.7619047619047619
chb07,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9375,0.9791666666666666,0.9583333333333333,0.9782608695652174,0.9583333333333334
chb08,knn,"{'clf__n_neighbors': 8, 'clf__p': 2, 'clf__weights': 'distance'}",0.8978102189781022,0.9124087591240876,0.9051094890510949,0.9111111111111111,0.9051094890510949
chb09,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.926829268292683,0.975609756097561,0.9512195121951219,0.9743589743589743,0.9512195121951219
chb10,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",1.0,0.9848484848484849,0.9924242424242424,0.9850746268656716,0.9924242424242424
chb11,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9916666666666667,0.9833333333333333,0.9874999999999999,0.9834710743801653,0.9875
chb13,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
chb14,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.7916666666666666,0.9166666666666666,0.8541666666666665,0.9047619047619048,0.8541666666666666
chb15,knn,"{'clf__n_neighbors': 10, 'clf__p': 1, 'clf__weights': 'distance'}",0.7627118644067796,0.752542372881356,0.7576271186440677,0.7550335570469798,0.7576271186440678
chb16,knn,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9,0.6,0.75,0.6923076923076923,0.75
chb17,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8604651162790697,0.7906976744186046,0.8255813953488372,0.8043478260869565,0.8255813953488372
chb18,knn,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.8936170212765957,0.9574468085106383,0.925531914893617,0.9545454545454546,0.925531914893617
chb19,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9142857142857143,0.9428571428571428,0.9285714285714285,0.9411764705882353,0.9285714285714286
chb20,knn,"{'clf__n_neighbors': 4, 'clf__p': 2, 'clf__weights': 'uniform'}",0.8571428571428571,0.9761904761904762,0.9166666666666666,0.972972972972973,0.9166666666666666
chb21,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.7931034482758621,0.8620689655172413,0.8275862068965517,0.8518518518518519,0.8275862068965517
chb22,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9,1.0,0.95,1.0,0.95
chb23,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.967741935483871,0.8870967741935484,0.9274193548387097,0.8955223880597015,0.9274193548387096
