0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
FP1-F7,F3-C3,T7-FT9,P4-O2,F4-C4,C3-P3,F7-T7,P3-O1,FZ-CZ,FP2-F8,FT9-FT10,FP2-F4,P8-O2,P7-O1,F8-T8,T7-P7,FT10-T8,FP1-F3,CZ-PZ,C4-P4,P7-T7
T7-FT9,FP1-F7,F3-C3,P4-O2,F7-T7,F4-C4,C3-P3,T7-P7,FZ-CZ,FT9-FT10,P3-O1,FP2-F4,P7-O1,F8-T8,FP2-F8,P8-O2,FT10-T8,FP1-F3,CZ-PZ,C4-P4,P7-T7
FP1-F7,F3-C3,P4-O2,T7-P7,T7-FT9,F7-T7,F4-C4,C3-P3,P3-O1,FZ-CZ,F8-T8,P7-O1,FT10-T8,P8-O2,FP2-F4,FT9-FT10,FP2-F8,FP1-F3,CZ-PZ,C4-P4,P7-T7
F3-C3,T7-FT9,F4-C4,C3-P3,P4-O2,F7-T7,FZ-CZ,F8-T8,FT10-T8,P3-O1,FP2-F4,T7-P7,FP2-F8,FT9-FT10,P8-O2,P7-O1,FP1-F7,FP1-F3,CZ-PZ,C4-P4,P7-T7
